audit_event_id,task_id,merchant_id,event_type,actor,idempotency_key,details,created_at
AE-000001,T-001,,source_read,system,,source=DoorDash Merchant Nudge Engine - Merchant Directory.csv,2026-06-01T00:00:00Z
AE-000002,T-001,M001,normalized,system,,row=1,2026-06-01T00:00:00Z
AE-000003,T-001,M001,risk_scored,system,,42/Low,2026-06-01T00:00:00Z
AE-000004,T-001,M001,blocker_diagnosed,system,,photos_needed,2026-06-01T00:00:00Z
AE-000005,T-001,M002,normalized,system,,row=2,2026-06-01T00:00:00Z
AE-000006,T-001,M002,risk_scored,system,,69/Medium,2026-06-01T00:00:00Z
AE-000007,T-001,M002,blocker_diagnosed,system,,menu_upload_needed,2026-06-01T00:00:00Z
AE-000008,T-001,M003,normalized,system,,row=3,2026-06-01T00:00:00Z
AE-000009,T-001,M003,risk_scored,system,,2/Low,2026-06-01T00:00:00Z
AE-000010,T-001,M003,blocker_diagnosed,system,,final_verification_needed,2026-06-01T00:00:00Z
AE-000011,T-001,M004,normalized,system,,row=4,2026-06-01T00:00:00Z
AE-000012,T-001,M004,risk_scored,system,,69/Medium,2026-06-01T00:00:00Z
AE-000013,T-001,M004,blocker_diagnosed,system,,business_hours_needed,2026-06-01T00:00:00Z
AE-000014,T-001,M005,normalized,system,,row=5,2026-06-01T00:00:00Z
AE-000015,T-001,M005,risk_scored,system,,17/Low,2026-06-01T00:00:00Z
AE-000016,T-001,M005,blocker_diagnosed,system,,bank_verification_needed,2026-06-01T00:00:00Z
AE-000017,T-001,M006,normalized,system,,row=6,2026-06-01T00:00:00Z
AE-000018,T-001,M006,risk_scored,system,,114/High,2026-06-01T00:00:00Z
AE-000019,T-001,M006,blocker_diagnosed,system,,photos_needed,2026-06-01T00:00:00Z
AE-000020,T-001,M006,review_queued,system,,high_risk,2026-06-01T00:00:00Z
AE-000021,T-001,M007,normalized,system,,row=7,2026-06-01T00:00:00Z
AE-000022,T-001,M007,risk_scored,system,,39/Low,2026-06-01T00:00:00Z
AE-000023,T-001,M007,blocker_diagnosed,system,,business_hours_needed,2026-06-01T00:00:00Z
AE-000024,T-001,M008,normalized,system,,row=8,2026-06-01T00:00:00Z
AE-000025,T-001,M008,risk_scored,system,,94/High,2026-06-01T00:00:00Z
AE-000026,T-001,M008,blocker_diagnosed,system,,business_verification_needed,2026-06-01T00:00:00Z
AE-000027,T-001,M008,review_queued,system,,high_risk,2026-06-01T00:00:00Z
